Name    Number   BeamID   E          N          U
ANT50       50       0        0.0000         0.0000        0.0000
ANT0        0        0        20.0000        0.0000        0.0000
ANT1        1        0        21.6327        0.0000        0.0000
ANT2        2        0        23.2653        0.0000        0.0000
ANT3        3        0        24.8980        0.0000        0.0000
ANT4        4        0        26.5306        0.0000        0.0000
ANT5        5        0        28.1633        0.0000        0.0000
ANT6        6        0        29.7959        0.0000        0.0000
ANT7        7        0        31.4286        0.0000        0.0000
ANT8        8        0        33.0612        0.0000        0.0000
ANT9        9        0        34.6939        0.0000        0.0000
ANT10        10        0        36.3265        0.0000        0.0000
ANT11        11        0        37.9592        0.0000        0.0000
ANT12        12        0        39.5918        0.0000        0.0000
ANT13        13        0        41.2245        0.0000        0.0000
ANT14        14        0        42.8571        0.0000        0.0000
ANT15        15        0        44.4898        0.0000        0.0000
ANT16        16        0        46.1224        0.0000        0.0000
ANT17        17        0        47.7551        0.0000        0.0000
ANT18        18        0        49.3878        0.0000        0.0000
ANT19        19        0        51.0204        0.0000        0.0000
ANT20        20        0        52.6531        0.0000        0.0000
ANT21        21        0        54.2857        0.0000        0.0000
ANT22        22        0        55.9184        0.0000        0.0000
ANT23        23        0        57.5510        0.0000        0.0000
ANT24        24        0        59.1837        0.0000        0.0000
ANT25        25        0        60.8163        0.0000        0.0000
ANT26        26        0        62.4490        0.0000        0.0000
ANT27        27        0        64.0816        0.0000        0.0000
ANT28        28        0        65.7143        0.0000        0.0000
ANT29        29        0        67.3469        0.0000        0.0000
ANT30        30        0        68.9796        0.0000        0.0000
ANT31        31        0        70.6122        0.0000        0.0000
ANT32        32        0        72.2449        0.0000        0.0000
ANT33        33        0        73.8776        0.0000        0.0000
ANT34        34        0        75.5102        0.0000        0.0000
ANT35        35        0        77.1429        0.0000        0.0000
ANT36        36        0        78.7755        0.0000        0.0000
ANT37        37        0        80.4082        0.0000        0.0000
ANT38        38        0        82.0408        0.0000        0.0000
ANT39        39        0        83.6735        0.0000        0.0000
ANT40        40        0        85.3061        0.0000        0.0000
ANT41        41        0        86.9388        0.0000        0.0000
ANT42        42        0        88.5714        0.0000        0.0000
ANT43        43        0        90.2041        0.0000        0.0000
ANT44        44        0        91.8367        0.0000        0.0000
ANT45        45        0        93.4694        0.0000        0.0000
ANT46        46        0        95.1020        0.0000        0.0000
ANT47        47        0        96.7347        0.0000        0.0000
ANT48        48        0        98.3673        0.0000        0.0000
ANT49        49        0        100.0000        0.0000        0.0000
