Name    Number   BeamID   E          N          U

HexE1         57        0    86.3730   284.1210   376.2500
HexE2         58        0   100.3470   284.0970   376.1800
HexE3         59        0   114.3460   284.0920   375.9100
HexE4         60        0   128.3400   284.1040   375.7700
HexE5         61        0    79.3690   271.9860   376.2400
HexE6         62        0    93.3390   271.9760   376.0700
HexE7         63        0   107.3650   271.9570   375.9500
HexE8         64        0   121.3550   271.9910   375.8300
HexE9         65        0   135.3670   271.9620   375.6500
HexE10        66        0    72.3800   259.8480   376.2400
HexE11        67        0    86.3490   259.8440   376.1000
HexE12        68        0   100.3730   259.8470   375.9600
HexE13        69        0   114.3570   259.8390   375.8200
HexE14        70        0   128.3460   259.8480   375.7000
HexE15        71        0   142.3600   259.8490   375.5000
HexE16        72        0    65.3620   247.7230   376.2300
HexE17        73        0    79.3660   247.7420   376.0800
HexE18        74        0    93.3550   247.7430   375.9400
HexE19        75        0   121.3690   247.7440   375.7200
HexE20        76        0   135.3530   247.7210   375.5900
HexE21        77        0   149.3580   247.7310   375.4100
HexE22        78        0    72.3630   235.6100   376.0900
HexE23        79        0    86.3440   235.6060   375.9700
HexE24        80        0   100.3670   235.6160   375.8500
HexE25        81        0   114.3350   235.5980   375.7400
HexE26        82        0   128.3490   235.6100   375.5600
HexE27        83        0   142.3400   235.5860   375.4400
HexE28        84        0    79.3740   223.4740   375.9900
HexE29        85        0    93.3430   223.4880   375.8700
HexE30        86        0   107.3570   223.4620   375.7700
HexE31        87        0   121.3720   223.4880   375.5700
HexE32        88        0   135.3520   223.4860   375.4800
HexE33        89        0    86.3620   211.3410   375.8800
HexE34        90        0   100.3640   211.3380   375.7500
HexE35        91        0   114.3590   211.3530   375.6000
HexE36        92        0   128.3450   211.3580   375.4800
